Кофейня;Адрес;Город;День;Ночь;Смежники
Шилкинская;ул. Шилкинская, д. 11а ст6;Владивосток;;;
Гоголя;ул. Чехова, д. 13А ст2;Владивосток;;4;
Светланская;ул. Светланская улица, 152 ст4;Владивосток;;;
Катерная;ул. Катерная, д. 13А;Владивосток;2;;
Некрасовская;ул. Некрасовская, д. 38Б;Владивосток;;;
Выселковая;ул. Выселковая 2Б;Владивосток;;2;
Окатовая;?ул. Окатовая, 68;Владивосток;;;
Тихая;?ул. Добровольского, 14 ;Владивосток;3;;
ТЦ РемиСити;пр-т Народный, д. 20;Владивосток;;;
Бородинская;ул. Бородинская, д. 14 ст. 6;Владивосток;;;
Борисенко;ул. Борисенко, 35к4,;Владивосток;;;
ТЦ Мира;ул. Проспект Красного Знамени 110;Владивосток;;;
Форт 11 ;Форт 11;Владивосток;7;4;
Кипарисово;Кипарисово, ул. Совхозная в районе д.2Б;Артём;2;;
Угловое;ул. 1-я Рабочая, д. 16г;Артём;;;
Рудничная;ул. 3-я Рудничная, д. 4;Артём;2;;
Сафари парк;с. Шкотово, ул. Зальпе, д. 101;Артём;4;2;
Уткинская;ул. Уткинская, д. 30;Артём;3;2;2
Негус;ул. Солнечная, д. 26А;Артём;4;4;
ТЦ Авиатор;ул. Фрунзе, д. 32А;Артём;;;
Де-Фриз;трасса Патрокл-Седанка-Де-Фриз-Новый, 37-38 км;Артём;;3;
Екатериновка;Екатериновка, Магистральная, д. 2а;Находка;;;
Стела;Ленина, 348б;Сахалин;1;1;
Влад.шоссе;Владивостокское шоссе, д. 145;Уссурийск;;;
Герасимчука;ул. Герасимчука, д. 3;Уссурийск;3;2;
Лучегорск;267 км гострассы Хабаровск - Владивосток;Лучегорск;2;;4
Шмаковка;в районе АЗС Роснефть;Шмаковка;;;
Дальнегорск;пр-т 50 лет Октября, д. 91;Дальнегорск;;;
